manufacturer,country,year_started,year_closed
Lambretta,Italy,,,
Minarelli (engines only),Italy,,,
Moto Guzzi,Italy,,,
Moto Morini,Italy,,,
Motobi,Italy,,,
MV Agusta,Italy,,,
Paton,Italy,,,
Piaggio,Italy,,,
SWM,Italy,,,
Terra Modena,Italy,,,
Vyrus,Italy,,,
Honda,Japan,,,
Kawasaki,Japan,,,
Suzuki,Japan,,,
Yamaha,Japan,,,
Daelim,South Korea,,,
KR Motors,South Korea,,,
Hyosung,South Korea,,,
Modenas,Malaysia,,,
Naza,Malaysia,,,
SYM Motors,Malaysia,,,
Hong Leong Yamaha,Malaysia,,,
Kawasaki,Malaysia,,,
KTM,Malaysia,,,
Suzuki,Malaysia,,,
Italika,Mexico,,,
Atlas Honda Bikes,Pakistan,,,
DYL Motorcycles,Pakistan,,,
Pak Suzuki Motors,Pakistan,,,
Ravi Motorcycles (Partner with Derbi & Piaggio),Pakistan,,,
Yamaha Motor Pakistan,Pakistan,,,
SFM Junak,Poland,,,
Junak,Poland,,,
AJP,Portugal,,,
Aliança,Portugal,,,
Conquistador,Portugal,,,
Dural,Portugal,,,
IMZ-Ural,Russia,,,
IZh,Russia,,,
Velomotors,Russia,,,
ZiD as the Voskhod,Russia,,,
Tomos,Slovenia,,,
Bultaco,Spain,,,
Derbi,Spain,,,
Gas Gas,Spain,,,
Montesa,Spain,,,
Ossa,Spain,,,
Rieju,Spain,,,
Sanglas,Spain,,,
Aeon Motor,Taiwan,,,
Gogoro,Taiwan,,,
Kymco,Taiwan,,,
PGO,Taiwan,,,
SYM,Taiwan,,,
Taiwan Golden Bee,Taiwan,,,
A.P. Honda,Thailand,,,
Kanuni,Turkey,,,
Mondial (Ugur Motor Vehicles),Turkey,,,
KMZ,Ukraine,,,
AJS,United Kingdom,,,
Ariel Motor Company,United Kingdom,,,
BSA,United Kingdom,,,
Cheney Racing,United Kingdom,,,
Clews Competition Motorcycles,United Kingdom,,,
Greeves,United Kingdom,,,
Hesketh,United Kingdom,,,
Megelli Motorcycles,United Kingdom,,,
Métisse,United Kingdom,,,
Norton,United Kingdom,,,
Triumph,United Kingdom,,,
Wasp Motorcycles,United Kingdom,,,
Alligator,United States,,,
Arlen Ness,United States,,,
ATK motorcycles,United States,,,
Boss Hoss,United States,,,
Brammo,United States,,,
Cleveland CycleWerks,United States,,,
Confederate Motorcycles,United States,,,
Electric Moto Corporation,United States,,,
Erik Buell Racing,United States,,,
Harley-Davidson,United States,,,
Indian,United States,,,
Janus Motorcycles,United States,,,
MTT,United States,,,
MotoCzysz,United States,,,
Motus,United States,,,
Rokon,United States,,,
Victory Motorcycles,United States,,,
Whizzer (parts and accessories only),United States,,,
Zero Electric,United States,,,
